subject,accuracy,f1_macro
0,0.65,0.65
1,0.675,0.6747967479674797
2,0.625,0.6247654784240151
3,0.55,0.5488721804511278
4,0.825,0.8248905565978737
5,0.35,0.3483709273182957
6,0.375,0.37146448774355756
7,0.6,0.5989974937343359
8,0.55,0.5488721804511278
9,0.425,0.39433838051349573
10,0.65,0.6011396011396011
11,0.625,0.6050032916392363
12,0.675,0.6747967479674797
13,0.475,0.474671669793621
14,0.575,0.5615731785944552
15,0.45,0.4373401534526854
16,0.575,0.5725958516656191
17,0.575,0.5747342088805503
18,0.4,0.3939393939393939
19,0.725,0.7248280175109443
20,0.625,0.6247654784240151
21,0.675,0.6698412698412699
22,0.475,0.47203016970458833
23,0.425,0.41587301587301584
24,0.425,0.42464040025015637
25,0.425,0.42464040025015637
26,0.55,0.5454545454545454
27,0.725,0.7163120567375887
28,0.6,0.5833333333333333
29,0.625,0.6190476190476191
30,0.775,0.7748592870544091
31,0.65,0.6354166666666667
32,0.525,0.5247029393370857
33,0.6,0.5833333333333333
34,0.525,0.5223130106851037
35,0.825,0.8222222222222222
36,0.8,0.8
37,0.35,0.3434343434343434
38,0.575,0.5615731785944552
39,0.475,0.43204868154158216
40,0.85,0.849624060150376
41,0.5,0.4949494949494949
42,0.7,0.6930946291560103
43,0.475,0.474671669793621
44,0.85,0.85
45,0.65,0.6419437340153453
46,0.55,0.5454545454545454
47,0.425,0.42174732872407295
48,0.475,0.474671669793621
49,0.75,0.7493734335839599
50,0.925,0.9249530956848031
51,0.35,0.35
52,0.45,0.4373401534526854
53,0.475,0.47203016970458833
54,0.45,0.4373401534526854
55,0.85,0.8484848484848485
56,0.675,0.6731615336266499
